Quiz,Correct,Wrong,Made,,,,,
マーライオンがあるのは？,シンガポール,インドネシア,5,2,シンガポール,インドネシア,6.9,
太陽系の惑星でないのは？,冥王星,海王星,5,2,メイオウセイ,カイオウセイ,6.3,
正しい名前は？,サイゼリヤ,サイゼリア,5,2,サイゼリヤ,サイゼリア,5.45,
CO2を冷やして凍らしたものを何という？,ドライアイス,ラクトアイス,5,2,ドライアイス,ラクトアイス,7.7,
サザエさんのフルネームは？,フグ田サザエ,磯野サザエ,5,2,フグタサザエ,イソノサザエ,6.9,
日本最西端の島は？,南鳥島,沖ノ鳥島,5,2,ミナミトリシマ,オキノトリシマ,6.85,
テニスでデュースの後1点先に先取することを？,アドバンテージ,タイブレイク,5,2,アドバンテージ,タイブレイク,8.5,
ジュラルミンの主な組成は?,アルミニウム,鉄,3,2,アルミニウム,テツ,5.5,
乾燥剤として使われているのは?,シリカゲル,エアロゾル,3,2,シリカゲル,エアロゾル,6.25,
セメントの原料は?,石灰石,チャート,3,2,セッカイセキ,チャート,5.6,
唾液に含まれるのは?,アミラーゼ,リパーゼ,3,2,アミラーゼ,リパーゼ,6.1,
面積が大きいのは?,ビクトリア湖,バイカル湖,3,2,ビクトリアコ,バイカルコ,7.1,
深いのは?,バイカル湖,ビクトリア湖,3,2,バイカルコ,ビクトリアコ,6.4,
大きかったのは?,イギリス帝国,モンゴル帝国,3,2,イギリステイコク,モンゴルテイコク,9.2,
第二次世界大戦後に成立したのは?,国際連合,国際連盟,3,2,コクサイレンゴウ,コクサイレンメイ,9.6,
世界初の有人動力飛行に成功したのは,ライト兄弟,モンゴルフィエ兄弟,1,2,ライトキョウダイ,モンゴルフィエキョウダイ,11.5,
ハロウィン発祥の地は,アイルランド,アメリカ,1,2,アイルランド,アメリカ,6.8,
日本で3番目に高い山は？,奥穂高岳,槍ヶ岳,3,2,オクホタカダケ,ヤリガタケ,7.6,
甲斐と呼ばれていたのは？,山梨県,石川県,3,2,ヤマナシケン,イシカワケン,7.2,
バルト三国で最も南にあるのは？,リトアニア,エストニア,3,2,リトアニア,エストニア,7,
電気をより伝えにくいのは？,不導体,半導体,3,2,フドウタイ,ハンドウタイ,6.7,
仕事をしているのは？,サボタージュ,ストライキ,3,2,サボタージュ,ストライキ,7.2,
左半分が明るい月は？,下弦の月,上弦の月,3,2,カゲンノツキ,ジョウゲンノツキ,7.8,
温暖前線と寒冷前線が重なった前線は？,閉塞前線,停滞前線,3,2,ヘイソクゼンセン,テイタイゼンセン,9.8,
内閣総理大臣を決める国会は？,特別国会,臨時国会,3,2,トクベツコッカイ,リンジコッカイ,9.1,
長いのは？,ナイル川,アマゾン川,3,2,ナイルガワ,アマゾンガワ,6.2,
広いのは？,コンゴ川,ミシシッピ川,3,2,コンゴガワ,ミシシッピガワ,6.6,
大きいのは？,霞ヶ浦,中海,3,2,カスミガウラ,ナカウミ,5.9,
根から吸い上げた栄養が通るのは？,道管,師管,3,2,ドウカン,シカン,5.3,
タンポポはどっち？,合弁花,離弁花,3,2,ゴウベンカ,リベンカ,5.7,
バラはどっち？,離弁花,合弁花,3,2,リベンカ,ゴウベンカ,5.2,
ヒノキはどっち？,裸子植物,被子植物,3,2,ラシショクブツ,ヒシショクブツ,7.9,
麦はどっち？,単子葉類,双子葉類,3,2,タンシヨウルイ,ソウシヨウルイ,7.7,
イモリはどっち？,両生類,爬虫類,3,2,リョウセイルイ,ハチュウルイ,7.4,
ヤモリはどっち？,爬虫類,両生類,3,2,ハチュウルイ,リョウセイルイ,7.1,
カモノハシはどっち？,哺乳類,両生類,3,2,ホニュウルイ,リョウセイルイ,7.3,
カメはどっち？,爬虫類,両生類,3,2,ハチュウルイ,リョウセイルイ,7,
サンショウウオはどっち？,両生類,魚類,3,2,リョウセイルイ,ギョルイ,7.1,
吸収されたブドウ糖は肝臓でどちらで保管される？,グリコーゲン,脂肪酸,3,2,グリコーゲン,シボウサン,8.3,
胃で分泌されるタンパク質を分解するのは？,ペプシン,リパーゼ,3,2,ペプシン,リパーゼ,6.4,
火山岩はどっち？,玄武岩,花崗岩,3,2,ゲンブガン,カコウガン,5.9,
深成岩はどっち？,閃緑岩,安山岩,3,2,センリョクガン,アンザンガン,7.4,
当時の時代を知ることが出来るのは？,示準化石,示相化石,3,2,シジュンカセキ,シソウカセキ,8.5,
温暖前線付近でできるのは？,乱層雲,積乱雲,3,2,ランソウウン,セキランウン,7.3,
ティラノサウルスやトリケラトプスが反映した地質年代は？,白亜紀,ジュラ紀,4,2,ハクアキ,ジュラキ,7,
東京オリンピック(2020)の競技は？,スケートボード,クリケット,4,2,スケートボード,クリケット,8.8,
非常に高い周波数の音の名前は？,モスキート音,ASMR,4,2,モスキートオト,ASMR,7.9,
星座占いで1月20日頃～2月18日頃の人は何座になるか？,みずがめ座,うお座,3,2,ミズガメザ,ウオザ,7.5,
9月の第3月曜日に指定されている祝日は？,敬老の日,秋分の日,3,2,ケイロウノヒ,シュウブンノヒ,8.5,
モンブランのモチーフになっているのは？,アルプス山,エベレスト,3,2,アルプスサン,エベレスト,8,
ホルモン料理として知られる牛の第二の胃を何というか？,ハチノス,シャトーブリアン,3,2,ハチノス,シャトーブリアン,8.6,
金字塔とは？,ピラミッド,金閣寺,3,2,ピラミッド,キンカクジ,5.9,
面積が一番広い砂丘があるのは？,青森県,鳥取県,3,2,アオモリケン,トットリケン,7.5,
日本の都道府県の中で、3番目に面積の狭い都道府県は？,東京都,大阪府,3,2,トウキョウト,オオサカフ,8.3,
最低気温が低いのは？,南極,北極,3,2,ナンキョク,ホッキョク,5.9,
スヌーピーが登場する漫画は？,ピーナッツ,アーモンド,3,2,ピーナッツ,アーモンド,6.9,
野菜はどっち？,パイナップル,さくらんぼ,3,2,パイナップル,サクランボ,6.9,
カルシウムの吸収効率をあげるのは？,ビタミンD,炭水化物,3,2,ビタミンD,タンスイカブツ,7.7,
アニメ版スーパーマリオクッパの声優をしたのは？,和田アキ子,小林幸子,3,2,ワダアキコ,コバヤシサチコ,8.3,
イタリア発祥なのは？,カルパッチョ,プリン・ア・ラモード,3,2,カルパッチョ,プリン・ア・ラモード,9.2,
警察犬が日本で初めてできたのは？,大正時代,明治時代,3,2,タイショウジダイ,メイジジダイ,9,
人の名前が由来になっているのは？,きんぴらごぼう,けんちん汁,3,2,キンピラゴボウ,ケンチンジル,8.8,
人の名前が由来になっているのは？,マドレーヌ,エクレア,3,2,マドレーヌ,エクレア,6.7,
シャーロックホームズの作者は？,コナンドイル,アガサクリスティ,5,2,コナンドイル,アガサクリスティ,8.9,
平家物語の語り手は？,琵琶法師,兼好法師,3,2,ビワホウシ,ケンコウホウシ,6.9,
聖徳太子が送ったとされるのは？,遣隋使,遣唐使,3,2,ケンズイシ,ケントウシ,6.6,
聖徳太子が摂政としてついたのは？,推古天皇,天武天皇,3,2,スイコテンノウ,テンムテンノウ,8.7,
ドイツ出身の犬種は？,ダックスフンド,プードル,4,2,ダックスフンド,プードル,7.5,
エイは何類？,魚類,哺乳類,3,2,ギョルイ,ホニュウルイ,4.6,
