Quiz,Correct,Wrong,Made,,,,
「長万部」何と読む？,おしゃまんべ,おさつべ,5,2,オシャマンベ,オサツベ,10
ドラえもんのもとになっているデザインは？,おきあがりこぼし,マトリョーシカ,5,2,オキアガリコボシ,マトリョーシカ,15
漢字の画数が多いのは？,北海道,沖縄,5,2,ホッカイドウ,オキナワ,9.6
ビニールハウスなどを利用して普通より作物を早い時期に出荷する栽培方法は？,促成栽培,園芸栽培,5,2,ソクセイサイバイ,エンゲイサイバイ,16.4
賞金が出るのは？,ノーベル賞,アカデミー賞,5,2,ノーベルショウ,アカデミーショウ,12.9
ケチャップとマヨネーズを合わせて作るソースは？,オーロラソース,カクテルソース,5,2,オーロラソース,カクテルソース,8.95
オードリー・ヘプバーンが出ていた映画は？,ローマの休日,ロミオとジュリエット,4,2,ローマノキュウジツ,ロミオトジュリエット,10.6
おにぎりはいつから食べられていた？,弥生時代,平安時代,4,2,ヤヨイジダイ,ヘイアンジダイ,7.25
植物の細胞にだけあって動物の細胞にないものは？,細胞壁,細胞質,3,2,サイボウヘキ,サイボウシツ,7.4
名称が人名に由来するのは？,カーディガン,ジャージ,3,2,カーディガン,ジャージ,6.3
オリンピックの近代五種に含まれるのは？,レーザーラン,レスリング,3,2,レーザーラン,レスリング,7.25
オリンピックの近代五種に含まれるのは？,馬術,棒高跳び,3,2,バジュツ,ボウタカトビ,6
将棋で、最初の一手で動かせない駒は？,桂馬,香車,3,2,ケイマ,キョウシャ,4.95
テーマパーク「ハウステンボス」があるのは？,佐世保市,長崎市,3,2,サセボシ,ナガサキシ,6.05
ポーカーで５枚すべて同じマークの札を揃える役は？,フラッシュ,フルハウス,3,2,フラッシュ,フルハウス,7.15
ラスベガスがあるのは？,ネバダ州,アリゾナ州,3,2,ネバダシュウ,アリゾナシュウ,6.75
銀閣寺を建てたのは？,足利義政,足利義満,3,2,アシカガヨシマサ,アシカガヨシミツ,7.8
バーボンウイスキーの主原料は？,トウモロコシ,小麦,3,2,トウモロコシ,コムギ,6.05
安政の大獄で処罰されたのは？,吉田松陰,高杉晋作,3,2,ヨシダショウイン,タカスギシンサク,8.2
世界遺産のアンコールワットがあるのは？,カンボジア,バングラディシュ,3,2,カンボジア,バングラディシュ,7.7
日本最長の山脈は？,奥羽山脈,飛騨山脈,3,2,オウウサンミャク,ヒダサンミャク,7.45
双子なのは？,ハローキティ,マイメロディ,3,2,ハローキティ,マイメロディ,6.3
トルコ料理の「シシカバブ」に使われるのは？,ヒツジ肉,イノシシ肉,3,2,ヒツジニク,イノシシニク,7
雪舟が大成させたのは？,水墨画,能楽,3,2,スイボクガ,ノウガク,5.1
菅原道真が廃止を唱えたのは？,遣唐使,遣隋使,3,2,ケントウシ,ケンズイシ,5.75
